RESP,TC1,TT1,TC2,TT2,CHOICE
1,5,25,7,35,1
1,8,20,5,40,2
1,6,20,6,40,1
1,7,35,5,25,2
1,6,40,6,25,2
1,8,25,4,35,1
1,4,30,8,30,1
1,4,35,8,20,2
1,5,40,7,20,2
1,7,30,4,30,2
2,5,25,7,35,1
2,8,20,5,40,1
2,6,20,6,40,1
2,7,35,5,25,2
2,6,40,6,25,2
2,8,25,4,35,2
2,4,30,8,30,1
2,4,35,8,20,2
2,5,40,7,20,2
2,7,30,4,30,1
3,5,25,7,35,1
3,8,20,5,40,1
3,6,20,6,40,1
3,7,35,5,25,2
3,6,40,6,25,2
3,8,25,4,35,2
3,4,30,8,30,2
3,4,35,8,20,1
3,5,40,7,20,2
3,7,30,4,30,2
4,5,25,7,35,1
4,8,20,5,40,1
4,6,20,6,40,1
4,7,35,5,25,2
4,6,40,6,25,2
4,8,25,4,35,2
4,4,30,8,30,1
4,4,35,8,20,2
4,5,40,7,20,2
4,7,30,4,30,2
5,5,25,7,35,1
5,8,20,5,40,2
5,6,20,6,40,1
5,7,35,5,25,2
5,6,40,6,25,2
5,8,25,4,35,1
5,4,30,8,30,1
5,4,35,8,20,2
5,5,40,7,20,2
5,7,30,4,30,2
6,5,25,7,35,1
6,8,20,5,40,2
6,6,20,6,40,2
6,7,35,5,25,2
6,6,40,6,25,2
6,8,25,4,35,2
6,4,30,8,30,2
6,4,35,8,20,1
6,5,40,7,20,2
6,7,30,4,30,2
7,5,25,7,35,1
7,8,20,5,40,1
7,6,20,6,40,2
7,7,35,5,25,2
7,6,40,6,25,2
7,8,25,4,35,2
7,4,30,8,30,2
7,4,35,8,20,2
7,5,40,7,20,2
7,7,30,4,30,2
8,5,25,7,35,1
8,8,20,5,40,2
8,6,20,6,40,1
8,7,35,5,25,2
8,6,40,6,25,2
8,8,25,4,35,2
8,4,30,8,30,2
8,4,35,8,20,2
8,5,40,7,20,2
8,7,30,4,30,2
9,5,25,7,35,1
9,8,20,5,40,1
9,6,20,6,40,1
9,7,35,5,25,2
9,6,40,6,25,2
9,8,25,4,35,2
9,4,30,8,30,1
9,4,35,8,20,1
9,5,40,7,20,2
9,7,30,4,30,2
10,5,25,7,35,1
10,8,20,5,40,1
10,6,20,6,40,1
10,7,35,5,25,2
10,6,40,6,25,2
10,8,25,4,35,2
10,4,30,8,30,1
10,4,35,8,20,2
10,5,40,7,20,1
10,7,30,4,30,2
11,5,25,7,35,1
11,8,20,5,40,1
11,6,20,6,40,1
11,7,35,5,25,2
11,6,40,6,25,2
11,8,25,4,35,2
11,4,30,8,30,1
11,4,35,8,20,1
11,5,40,7,20,2
11,7,30,4,30,2
12,5,25,7,35,1
12,8,20,5,40,1
12,6,20,6,40,1
12,7,35,5,25,2
12,6,40,6,25,2
12,8,25,4,35,2
12,4,30,8,30,1
12,4,35,8,20,2
12,5,40,7,20,2
12,7,30,4,30,2
13,5,25,7,35,1
13,8,20,5,40,2
13,6,20,6,40,1
13,7,35,5,25,2
13,6,40,6,25,2
13,8,25,4,35,2
13,4,30,8,30,1
13,4,35,8,20,2
13,5,40,7,20,2
13,7,30,4,30,2
14,5,25,7,35,1
14,8,20,5,40,1
14,6,20,6,40,1
14,7,35,5,25,2
14,6,40,6,25,2
14,8,25,4,35,2
14,4,30,8,30,1
14,4,35,8,20,1
14,5,40,7,20,2
14,7,30,4,30,2
15,5,25,7,35,1
15,8,20,5,40,1
15,6,20,6,40,1
15,7,35,5,25,2
15,6,40,6,25,2
15,8,25,4,35,2
15,4,30,8,30,1
15,4,35,8,20,1
15,5,40,7,20,2
15,7,30,4,30,2
16,5,25,7,35,1
16,8,20,5,40,1
16,6,20,6,40,1
16,7,35,5,25,2
16,6,40,6,25,2
16,8,25,4,35,2
16,4,30,8,30,1
16,4,35,8,20,2
16,5,40,7,20,2
16,7,30,4,30,2
17,5,25,7,35,1
17,8,20,5,40,2
17,6,20,6,40,1
17,7,35,5,25,2
17,6,40,6,25,2
17,8,25,4,35,2
17,4,30,8,30,1
17,4,35,8,20,1
17,5,40,7,20,2
17,7,30,4,30,2
18,5,25,7,35,1
18,8,20,5,40,1
18,6,20,6,40,1
18,7,35,5,25,1
18,6,40,6,25,1
18,8,25,4,35,2
18,4,30,8,30,1
18,4,35,8,20,2
18,5,40,7,20,2
18,7,30,4,30,2
19,5,25,7,35,1
19,8,20,5,40,2
19,6,20,6,40,1
19,7,35,5,25,2
19,6,40,6,25,2
19,8,25,4,35,2
19,4,30,8,30,1
19,4,35,8,20,1
